要素,平年降水量(mm),平年平均気温(℃),平年日最高気温(℃),平年日最低気温(℃),平年日照時間(h),平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,2003～ 2020,2003～ 2020,2003～ 2020,2003～ 2020,///,///,///
資料年数,18,18,18,18,0,0,0
1日,2.1,18.2,20.6,15.8,///,///,///
2日,2.3,18.2,20.6,15.8,///,///,///
3日,2.4,18.2,20.6,15.8,///,///,///
4日,2.5,18.2,20.6,15.8,///,///,///
5日,2.6,18.2,20.6,15.8,///,///,///
6日,2.6,18.2,20.6,15.9,///,///,///
7日,2.6,18.2,20.7,15.9,///,///,///
8日,2.6,18.3,20.7,15.9,///,///,///
9日,2.6,18.3,20.8,16.0,///,///,///
10日,2.5,18.4,20.8,16.0,///,///,///
11日,2.4,18.4,20.9,16.1,///,///,///
12日,2.3,18.5,21.0,16.1,///,///,///
13日,2.2,18.6,21.0,16.2,///,///,///
14日,2.1,18.7,21.1,16.3,///,///,///
15日,2.0,18.7,21.2,16.4,///,///,///
16日,2.0,18.8,21.2,16.5,///,///,///
17日,1.9,18.9,21.3,16.6,///,///,///
18日,2.0,19.0,21.4,16.7,///,///,///
19日,2.0,19.1,21.5,16.8,///,///,///
20日,2.1,19.1,21.6,16.9,///,///,///
21日,2.2,19.2,21.6,17.0,///,///,///
22日,2.2,19.3,21.7,17.0,///,///,///
23日,2.3,19.4,21.8,17.1,///,///,///
24日,2.4,19.4,21.9,17.2,///,///,///
25日,2.4,19.5,21.9,17.2,///,///,///
26日,2.5,19.5,22.0,17.3,///,///,///
27日,2.5,19.5,22.0,17.3,///,///,///
28日,2.5,19.5,22.0,17.3,///,///,///
29日,2.6,19.5,22.0,17.3,///,///,///
